g1	g0	g2	g3	g6	g4	g9	g5	g7	g8	g12	g11	g14	g13	g15	g10	g19	g18	g17	g16	g20
Gelse-mpi.v2.1-MPIG000010	0.250132867014657	0.194706738895785	0.23065730148373	0.291368792631112	0.179164532918775	0.156919755154495	0.315566583549297	0.312134268783539	0.328234677561927	0.24851497899614	0.290069079509042	0.214936831551456	0.0800619430666604	0.443488074880455	0.452044176286863	0.0777313496968841	0.587068567507228	0.41725394946859	0.182008886067384	0.191497687777892	0.37976188401187
Gelse-mpi.v2.1-MPIG000020	0.0581241898523494	0.0410395932427464	0.0572796582031621	0.0701944820341305	0.0777152557911847	0.0649983192326125	0.121491849212562	0.0794467837015455	0.0464346682637493	0.0587249150223153	0.0555599687431564	0	0	0.0807691160109838	0	0.0423162676593621	0.230686191934383	0	0	0	0.264073857183279
Gelse-mpi.v2.1-MPIG000030	0.113812923117407	0.0406526069203089	0.107248546422031	0.145104191053216	0.0703127150044511	0.0467986624099782	0	0.0939282614685235	0.101165891146209	0.019942391160245	0	0.0667383655111154	0	0.107781617929976	0.123500840608039	0.0584873088023632	0.480489145824631	0	0.330197482966564	0.111715712910553	0.387124829924866
Gelse-mpi.v2.1-MPIG000040	0.0857162776543176	0.13881383533771	0.167141893497054	0.17270430732077	0.108700927674835	0.143930048061172	0.0805893821122179	0.109637965895901	0.0507838778094897	0.206986788579266	0.198441312461776	0.0995919955721533	0	0	0.153850409125655	0.233133077651365	0.188844133486205	0	0	0.326263242381806	0
Gelse-mpi.v2.1-MPIG000050	0.453340498433173	0.96907108403085	0.899669177020597	0.963716494266045	1.19539168462449	0.622542022447237	0.333601799457165	0.726675227278426	0.669821806266536	1.32179727848801	0.805671346909532	0.68664593958476	1.14611991502849	1.04950244907453	0.654983395807216	1.30129754468105	0.585614976992868	0.278927038584341	0.722332876865359	0.651333484714342	0.511297190426182
Gelse-mpi.v2.1-MPIG000060	0.244810447177548	0.373889039729059	0.325474864734574	0.202476088383414	0.458754052848107	0.250931366211339	0.173205239393635	0.228609148526373	0.421388928638373	0.197981386140733	0.0927827179902535	0.112105960396102	0.272307244887971	0.345171071176752	0.0927809950602223	0.465924803882911	0.188844133486205	0.14612989212134	0.533001237434326	0.34087144191729	0
Gelse-mpi.v2.1-MPIG000070	0.367101361989962	0.294118815288813	0.348992139993862	0.310155451596395	0.300023159212551	0.395456768671174	0.393966528313201	0.378966620752947	0.441687771364502	0.386015404388679	0.203236194026655	0.215829804956023	0.64508624855105	0.217989021139559	0.456916857886812	0.466881390589623	0.557643238797949	0.149422047613397	0.145215801505395	0.351340301399271	0.629630841582159
Gelse-mpi.v2.1-MPIG000080	0.189969908561534	0.11410602799524	0.148351677740436	0.119163394043363	0.144008013407826	0.0833641154649574	0.115416079222653	0.07979554835413	0.113162068209734	0.244130881943022	0.0596636343568858	0.167243157958456	0.253800446955738	0	0.203157811200558	0.0771006706029842	0.244315954926363	0	0.108945243059212	0	0.392931048390949
Gelse-mpi.v2.1-MPIG000090	0.543123379962854	0.454105164406921	0.370024294565352	0.531384816152881	0.552811958635474	0.497449350722001	0.577485176722418	0.514782866724426	0.51988055147238	0.52209019925906	0.423613534258097	0.424158674126608	0.712292533682308	0.471587245354366	0.69097318995092	0.554015732077601	0.949341065873765	0.732700880239331	0.510662686085382	0.512902487162866	0.293984793256337
Gelse-mpi.v2.1-MPIG000100	0.186724621773088	0.297869902110919	0.323171423091975	0.221924743458316	0.25477665681674	0.0386375196608149	0.140516382128144	0.310665839854958	0.224099964263696	0.417878635515053	0	0.121814755402461	0.328642001563121	0.248983361316276	0	0.229451267272522	0	0.367939223535261	0.179623718393608	0.294549338278247	0
