A.thaliana,G.sempervirens,C.roseus,Short_description,Curator_summary,Cell_type,Name,Organ,Sources,cluster
AT1G17420,Gelse_mpi.v2.2_MPIG042840.1,CRO_01G001330.1,lipoxygenase 3,Lipoxygenase,Mesophyll,LOX3,Leaf,Lee et al 2025,1
AT1G17420,Gelse_mpi.v2.2_MPIG042840.1,CRO_01G001330.1,lipoxygenase 3,Lipoxygenase,Mesophyll,LOX3,Leaf,Lee et al 2025,2
AT1G17420,Gelse_mpi.v2.2_MPIG042840.1,CRO_01G001330.1,lipoxygenase 3,Lipoxygenase,Mesophyll,LOX3,Leaf,Lee et al 2025,5
AT1G72970,Gelse_mpi.v2.2_MPIG042070.3,CRO_01G002120.1,Glucose-methanol-choline (GMC) oxidoreductase family protein,"Originally identified as a mutation that causes floral organs to fuse together. About 10-20% of mutants also have defects in ovules. Mutants have reduced fertility most likely as because of fusions that pistil emergence. The protein has similarity to the mandelonitrile lyase family of FAD containing oxidoreductases and is predicted to be secreted (SignalP).It is expressed in all tissue layers of roots, inflorescences, stems, leaves, and flowers and is also expressed in siliques. Expression is highest in inflorescence and flower tissue.Transmission of mutant alleles to the progeny shows non mendelian segregation- a percentage of mutant alleles revert back to a previous parental (e.g. grandparental) wild type allele. It has been suggested that an RNA template driven or other extra-DNA genomic mechanism may be responsible for the non-mendelian inheritance of HTH. Reversion events in alleles at other loci have also been observed to occur in plants with an hth mutant background indicating a genome wide effect.",Epidermis,HTH,Leaf,Lee et al 2025,16
AT1G72970,Gelse_mpi.v2.2_MPIG042070.3,CRO_01G002120.1,Glucose-methanol-choline (GMC) oxidoreductase family protein,"Originally identified as a mutation that causes floral organs to fuse together. About 10-20% of mutants also have defects in ovules. Mutants have reduced fertility most likely as because of fusions that pistil emergence. The protein has similarity to the mandelonitrile lyase family of FAD containing oxidoreductases and is predicted to be secreted (SignalP).It is expressed in all tissue layers of roots, inflorescences, stems, leaves, and flowers and is also expressed in siliques. Expression is highest in inflorescence and flower tissue.Transmission of mutant alleles to the progeny shows non mendelian segregation- a percentage of mutant alleles revert back to a previous parental (e.g. grandparental) wild type allele. It has been suggested that an RNA template driven or other extra-DNA genomic mechanism may be responsible for the non-mendelian inheritance of HTH. Reversion events in alleles at other loci have also been observed to occur in plants with an hth mutant background indicating a genome wide effect.",Epidermis,HTH,Leaf,Lee et al 2025,19
AT5G40390,Gelse_mpi.v2.1_MPIG054310.1,CRO_01G002480.1,Raffinose synthase family protein,Encodes a protein which might be involved in the formation of verbascose. A T-DNA insertion mutant was shown to have a decreased amount of verbascose (as well as mannitol) whereas the levels of raffinose and stachyose remained unchanged.,Epidermis,SIP1,Leaf,Lee et al 2025,15
AT3G01500,Gelse_mpi.v2.1_MPIG053900.1,NA,carbonic anhydrase 1,Encodes a putative beta-carbonic anhydrase betaCA1.  Together with betaCA4 (At1g70410) regulates CO2-controlled stomatal movements in guard cells.,Mesophyll,CA1,Leaf,"Lee et al 2025; Kim et al., 2021",0
AT3G01500,Gelse_mpi.v2.1_MPIG053900.1,NA,carbonic anhydrase 1,Encodes a putative beta-carbonic anhydrase betaCA1.  Together with betaCA4 (At1g70410) regulates CO2-controlled stomatal movements in guard cells.,Mesophyll,CA1,Leaf,"Lee et al 2025; Kim et al., 2021",3
AT3G01500,Gelse_mpi.v2.1_MPIG053900.1,NA,carbonic anhydrase 1,Encodes a putative beta-carbonic anhydrase betaCA1.  Together with betaCA4 (At1g70410) regulates CO2-controlled stomatal movements in guard cells.,Mesophyll,CA1,Leaf,"Lee et al 2025; Kim et al., 2021",6
AT3G01500,Gelse_mpi.v2.1_MPIG053900.1,NA,carbonic anhydrase 1,Encodes a putative beta-carbonic anhydrase betaCA1.  Together with betaCA4 (At1g70410) regulates CO2-controlled stomatal movements in guard cells.,Mesophyll,CA1,Leaf,"Lee et al 2025; Kim et al., 2021",8
AT3G01500,Gelse_mpi.v2.1_MPIG053900.1,NA,carbonic anhydrase 1,Encodes a putative beta-carbonic anhydrase betaCA1.  Together with betaCA4 (At1g70410) regulates CO2-controlled stomatal movements in guard cells.,Mesophyll,CA1,Leaf,"Lee et al 2025; Kim et al., 2021",13
AT5G14790,Gelse_mpi.v2.1_MPIG053730.1,CRO_01G003060.1,ARM repeat superfamily protein,NA,Epidermis,AT5G14790,Leaf,Lee et al 2025,18
AT3G28340,Gelse_mpi.v2.1_MPIG053190.1,NA,galacturonosyltransferase-like 10,Encodes a protein with  putative galacturonosyltransferase activity.,Mesophyll,GATL10,Leaf,Lee et al 2025,20
AT3G01140,Gelse_mpi.v2.1_MPIG052180.2,CRO_01G004440.1,myb domain protein 106,Encodes a MIXTA-like MYB gene NOECK (NOK). Loss of function mutations show an increased number of branchpoints in leaf trichomes suggesting a role in negative regulation of trichome branching.,Trichome,AT3G01140,Leaf,Lee et al 2025,7
AT3G01140,Gelse_mpi.v2.1_MPIG052180.2,CRO_01G004440.1,myb domain protein 106,Encodes a MIXTA-like MYB gene NOECK (NOK). Loss of function mutations show an increased number of branchpoints in leaf trichomes suggesting a role in negative regulation of trichome branching.,Trichome,AT3G01140,Leaf,Lee et al 2025,15
AT5G15310,Gelse_mpi.v2.1_MPIG052180.2,CRO_01G004440.1,myb domain protein 16,Member of the R2R3 factor gene family.,Epidermis,MYB16,Leaf,Lee et al 2025,7
AT5G15310,Gelse_mpi.v2.1_MPIG052180.2,CRO_01G004440.1,myb domain protein 16,Member of the R2R3 factor gene family.,Epidermis,MYB16,Leaf,Lee et al 2025,15
AT5G15450,Gelse_mpi.v2.1_MPIG051600.1,CRO_01G004900.3,casein lytic proteinase B3,"Encodes a chloroplast-targeted Hsp101 homologue.  Functions as a molecular chaperone involved in plastid differentiation mediating internal thylakoid membrane formation and conferring thermotolerance to chloroplasts during heat stress.  APG6 is constitutively expressed in the root tips, the organ boundary region, the reproductive tissues of mature plants where plastids exist as proplastids, and slightly in the stems and leaves.  APG6 expression is upregulated in response to heat shock in various organs, but not in response to other abiotic stresses.  Apg6 mutants have a pale-green phenotype.",Procambium_PP,CLPB3,Leaf,Lee et al 2025,16
AT3G02110,Gelse_mpi.v2.1_MPIG051430.3,CRO_01G005050.2,serine carboxypeptidase-like 25,NA,Epidermis,scpl25,Leaf,Lee et al 2025,16
AT5G15780,Gelse_mpi.v2.1_MPIG050970.1,CRO_01G005470.2,Pollen Ole e 1 allergen and extensin family protein,NA,Mesophyll,AT5G15780,Leaf,Lee et al 2025,19
AT2G23450,Gelse_mpi.v2.1_MPIG049980.4,CRO_01G006430.1,Protein kinase superfamily protein,NA,Epidermis,AT2G23450,Leaf,Lee et al 2025,19
AT2G23450,Gelse_mpi.v2.1_MPIG049980.4,CRO_01G006430.1,Protein kinase superfamily protein,NA,Epidermis,AT2G23450,Leaf,Lee et al 2025,20
AT5G59550,Gelse_mpi.v2.5_MPIG011240.1,CRO_01G007600.1,zinc finger (C3HC4-type RING finger) family protein,NA,Mesophyll,RDUF2,Leaf,Lee et al 2025,1
AT5G59550,Gelse_mpi.v2.5_MPIG011240.1,CRO_01G007600.1,zinc finger (C3HC4-type RING finger) family protein,NA,Mesophyll,RDUF2,Leaf,Lee et al 2025,2
AT5G59550,Gelse_mpi.v2.5_MPIG011240.1,CRO_01G007600.1,zinc finger (C3HC4-type RING finger) family protein,NA,Mesophyll,RDUF2,Leaf,Lee et al 2025,10
AT5G59870,Gelse_mpi.v2.5_MPIG012210.1,NA,histone H2A 6,"Encodes HTA6, a histone H2A protein.",Mesophyll,HTA6,Leaf,Lee et al 2025,11
AT2G27385,Gelse_mpi.v2.3_MPIG005940.1,CRO_01G013530.1,Pollen Ole e 1 allergen and extensin family protein,NA,Epidermis,AT2G27385,Leaf,Lee et al 2025,1
AT2G27385,Gelse_mpi.v2.3_MPIG005940.1,CRO_01G013530.1,Pollen Ole e 1 allergen and extensin family protein,NA,Epidermis,AT2G27385,Leaf,Lee et al 2025,7
AT2G27385,Gelse_mpi.v2.3_MPIG005940.1,CRO_01G013530.1,Pollen Ole e 1 allergen and extensin family protein,NA,Epidermis,AT2G27385,Leaf,Lee et al 2025,15
AT5G22250,Gelse_mpi.v2.3_MPIG006360.1,CRO_01G014210.1,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",NA,Epidermis,CAF1b,Leaf,Lee et al 2025,15
AT3G43720,Gelse_mpi.v2.3_MPIG007930.3,NA,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,NA,Epidermis,LTPG2,Leaf,Lee et al 2025,19
AT2G27170,Gelse_mpi.v2.3_MPIG007610.3,CRO_01G015650.2,Structural maintenance of chromosomes (SMC) family protein,Encodes a member of the Arabidopsis cohesin complex that is essential for viability and sister chromatid alignment.,Mesophyll,TTN7,Leaf,Lee et al 2025,19
AT4G19840,Gelse_mpi.v2.1_MPIG032070.2,CRO_01G018080.1,phloem protein 2-A1,"encodes a phloem lectin, similar to phloem lectin in cucumber and celery. Gene is expressed in the phloem, predominantly in the companion cells.",Phloem,PP2-A1,Stem,Lee et al 2025,18
AT1G21980,Gelse_mpi.v2.2_MPIG022980.1,CRO_01G022370.1,phosphatidylinositol-4-phosphate 5-kinase 1,"Type I phosphatidylinositol-4-phosphate 5-kinase. Preferentially phosphorylates PtdIns4P. Induced by water stress and abscisic acid in Arabidopsis thaliana. Expressed in procambial cells of leaves, flowers and roots. A N-terminal Membrane Occupation and Recognition Nexus (MORN)affects enzyme activity and distribution.",Epidermis,PIP5K1,Leaf,Lee et al 2025,16
AT1G76070,Gelse_mpi.v2.2_MPIG001920.1,CRO_01G023930.1,NA,NA,Epidermis,AT1G76070,Leaf,Lee et al 2025,7
AT4G32830,Gelse_mpi.v2.7_MPIG018410.1,CRO_01G025760.1,ataurora1,"Encodes a member of a family of Ser/Thr kinases whose activities peak during cell division.  Transcripts are abundant in tissues rich in dividing cells like roots and flowers but are low or absent in fully expanded leaves and stems.  In interphase cells, the protein is predominantly nuclear.  During mitosis, the protein associates with plant-specific cytoskeletal structures (preprophase band, phragmoplast, nascent cell plate) that are necessary for cytokinesis as well as with the microtubule spindle. It specifically phosphorylates Ser10 of histone H3 and colocalizes with phosphorylated histone H3 during mitosis.",Procambium_PP,AUR1,Leaf,Lee et al 2025,10
AT5G11610,Gelse_mpi.v2.7_MPIG018880.1,NA,Exostosin family protein,NA,Epidermis,AT5G11610,Leaf,Lee et al 2025,16
AT4G32720,Gelse_mpi.v2.7_MPIG008980.1,CRO_01G027060.2,La protein 1,"Encodes AtLa1, a member of the highly abundant phosphoprotein La proteins.  Predominantly localized to the nucleoplasm and was also detected in the nucleolar cavity.  Has RNA binding activity.  Required for normal ribosome biogenesis and embryogenesis.",Procambium_PP,La1,Leaf,Lee et al 2025,20
AT2G26250,Gelse_mpi.v2.7_MPIG003660.1,CRO_01G028790.2,3-ketoacyl-CoA synthase 10,"epidermis-specific, encodes KCS10, a putative 3-ketoacyl-CoA synthase. probably involved in the synthesis of long-chain lipids found in the cuticle.",Epidermis,FDH,Stem,Li et al 2023; Lee et al 2025,1
AT2G26250,Gelse_mpi.v2.7_MPIG003660.1,CRO_01G028790.2,3-ketoacyl-CoA synthase 10,"epidermis-specific, encodes KCS10, a putative 3-ketoacyl-CoA synthase. probably involved in the synthesis of long-chain lipids found in the cuticle.",Epidermis,FDH,Stem,Li et al 2023; Lee et al 2025,7
AT2G26250,Gelse_mpi.v2.7_MPIG003660.1,CRO_01G028790.2,3-ketoacyl-CoA synthase 10,"epidermis-specific, encodes KCS10, a putative 3-ketoacyl-CoA synthase. probably involved in the synthesis of long-chain lipids found in the cuticle.",Epidermis,FDH,Stem,Li et al 2023; Lee et al 2025,15
AT2G26250,Gelse_mpi.v2.7_MPIG003660.1,CRO_01G028790.2,3-ketoacyl-CoA synthase 10,"epidermis-specific, encodes KCS10, a putative 3-ketoacyl-CoA synthase. probably involved in the synthesis of long-chain lipids found in the cuticle.",Epidermis,FDH,Stem,Li et al 2023; Lee et al 2025,16
AT2G26250,Gelse_mpi.v2.7_MPIG003660.1,CRO_01G028790.2,3-ketoacyl-CoA synthase 10,"epidermis-specific, encodes KCS10, a putative 3-ketoacyl-CoA synthase. probably involved in the synthesis of long-chain lipids found in the cuticle.",Epidermis,FDH,Stem,Li et al 2023; Lee et al 2025,19
AT5G10480,Gelse_mpi.v2.1_MPIG039430.1,CRO_01G030800.1,"Protein-tyrosine phosphatase-like, PTPLA","Protein tyrosine phosphatase-like involved in cell division and differentiation. Interacts with CDKA;1 only in its phosphorylated form, preventing dephosphorylation. Overexpression slowed down cell division in suspension cell cultures at the G2-to-M transition and early  mitosis and inhibited Arabidopsis seedling growth. Localized in  the cytoplasm of dividing cells but moved into the nucleus upon cell differentiation. Based on complementation of yeast mutant PAS2 has acyl-CoA dehydratase activity. It interacts with CER10, a component of the microsomal fatty acid elongase complex, suggesting a role in synthesis of VLCFAs (very long chain fatty acids).",Epidermis,PAS2,Leaf,Lee et al 2025,19
AT2G22500,Gelse_mpi.v2.1_MPIG039000.1,CRO_01G031030.1,uncoupling protein 5,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",Mesophyll,UCP5,Leaf,Lee et al 2025,1
AT2G22500,Gelse_mpi.v2.1_MPIG039000.1,CRO_01G031030.1,uncoupling protein 5,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",Mesophyll,UCP5,Leaf,Lee et al 2025,4
AT2G22500,Gelse_mpi.v2.1_MPIG039000.1,CRO_01G031030.1,uncoupling protein 5,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",Mesophyll,UCP5,Leaf,Lee et al 2025,5
