p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Chr,start,end,strand,gene_anno
2.7796000788087908e-117,5.12955673527758,0.654,0.027,6.444224822710301e-113,10,Caacu.v4.11G004750,Chr11,5069974,5074173,+,Heavy metal transport/detoxification superfamily protein 
5.2321112321528404e-111,5.213184885651614,0.462,0.015,1.2130126680623146e-106,10,Caacu.v4.2G019130,Chr2,25059239,25062584,-,xyloglucan endotransglucosylase/hydrolase
3.2999091427070846e-61,4.876364895807128,0.308,0.013,7.650509356452105e-57,10,Caacu.v4.4G010420,Chr4,14373242,14375102,+,NAD(P)-binding Rossmann-fold superfamily protein
2.07702592308432e-59,3.8559408783403466,0.769,0.102,4.815376900078688e-55,10,Caacu.v4.1G008850,Chr1,15344344,15349220,-,"Protein of unknown function, DUF642"
1.2771027895605649e-54,3.988499008249635,0.5,0.042,2.960835107317214e-50,10,Caacu.v4.11G007630,Chr11,9919470,9923594,-,Heavy metal transport/detoxification superfamily protein 
1.871035682938616e-43,3.0096300193222714,0.308,0.046,4.3378091273248876e-39,10,Caacu.v4.11G007640,Chr11,9939663,9951753,-,Heavy metal transport/detoxification superfamily protein 
1.366467016990017e-35,4.030950508571504,0.288,0.021,3.168017132189656e-31,10,Caacu.v4.7G010490,Chr7,15848675,15850692,-,expansin A8
5.79243789062234e-26,3.7338231990388433,0.288,0.029,1.3429188005618835e-21,10,Caacu.v4.4G017320,Chr4,19839686,19840764,+,expansin A5
6.873146085336449e-22,3.227421435049825,0.25,0.026,1.5934701884244025e-17,10,Caacu.v4.20G011150,Chr20,12112054,12118367,+,Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein
1.5410021116869093e-19,2.984126654446037,0.25,0.029,3.5726592957349305e-15,10,Caacu.v4.7G003950,Chr7,9299253,9307405,+,5'-3' exoribonuclease
2.2838674205777067e-14,2.5287025421249556,0.269,0.044,5.294918227867355e-10,10,Caacu.v4.9G012300,Chr9,15975292,15980914,-,glycosyl hydrolase 9B7
9.367352441366781e-14,2.786913033855106,0.269,0.046,2.1717269900064743e-9,10,Caacu.v4.21G009880,Chr21,11214957,11218814,+,Phototropic-responsive NPH3 family protein
1.0746822839607839e-13,2.935250800694537,0.288,0.053,2.4915434071346815e-9,10,Caacu.v4.4G011780,Chr4,15466951,15470796,+,Glycosyl hydrolase superfamily protein
2.1296600088066938e-13,1.8199145073204361,0.5,0.141,4.937403764417439e-9,10,Caacu.v4.13G003710,Chr13,2746865,2747753,+,Gibberellin-regulated family protein
6.058487835980299e-13,2.3491825611557267,0.288,0.055,1.4045998198936725e-8,10,Caacu.v4.10G012620,Chr10,15678231,15679915,+,FASCICLIN-like arabinogalactan
8.868728888142219e-13,2.3010339153250197,0.385,0.096,2.056126105426892e-8,10,Caacu.v4.18G011320,Chr18,11462866,11466543,+,pectin methylesterase PCR fragment F
2.103812709739574e-11,2.0781426378994956,0.346,0.083,4.877479386260228e-7,10,Caacu.v4.7G006050,Chr7,12010016,12012513,+,Heavy metal transport/detoxification superfamily protein 
2.2240976605543616e-11,2.4530483695209795,0.404,0.115,5.156348016229232e-7,10,Caacu.v4.5G011350,Chr5,9333909,9362509,+,Leucine-rich repeat transmembrane protein kinase
1.9484489831515216e-10,1.6284080413046929,0.481,0.162,4.517284122538487e-6,10,Caacu.v4.16G008090,Chr16,7890988,7893372,-,dehydration-induced protein (ERD15)
2.726934319900557e-9,2.0756308789985094,0.25,0.055,6.322124527257452e-5,10,Caacu.v4.5G003830,Chr5,2959038,2967162,+,ELMO/CED-12 family protein
6.838206203843969e-9,2.2718841763525375,0.288,0.076,1.5853697262991858e-4,10,Caacu.v4.7G005350,Chr7,11214237,11220527,-,cellulose synthase-like A02
1.0128067702208329e-8,2.1551760563853195,0.25,0.059,2.348091216079979e-4,10,Caacu.v4.2G020040,Chr2,25799667,25811921,-,Homeodomain-like superfamily protein
6.445580229094392e-7,1.371906497684673,0.673,0.4,0.014943433203132439,10,Caacu.v4.13G001820,Chr13,1361402,1363998,-,hypothetical protein
1.7151203866019045e-6,1.7647760980398506,0.269,0.084,0.039763351042978554,10,Caacu.v4.13G011140,Chr13,11491853,11500345,+,Protein of unknown function (DUF506) 
2.355051546890247e-6,1.9840682445454227,0.288,0.099,0.05459951506310349,10,Caacu.v4.1G003440,Chr1,7399472,7405892,-,glycosyl hydrolase 9C2
5.213344733874858e-6,1.4537657053057353,0.385,0.161,0.12086618431015471,10,Caacu.v4.1G009290,Chr1,15784843,15792922,+,CHY-type/CTCHY-type/RING-type Zinc finger protein
