A.thaliana	G.sempervirens	C.roseus
		CRO_01G000010.1
		CRO_01G000020.1
		CRO_01G000030.6
		CRO_01G000040.1
		CRO_01G000050.1
		CRO_01G000060.1
	Gelse_mpi.v2.2_MPIG044080.3	CRO_01G000070.8
		
	Gelse_mpi.v2.2_MPIG044120.3	CRO_01G000080.7
AT1G16780.1	Gelse_mpi.v2.2_MPIG044020.1	CRO_01G000090.1
AT1G78920.1	Gelse_mpi.v2.2_MPIG044020.1	CRO_01G000090.1
		CRO_01G000100.1
		
		
AT1G78930.1	Gelse_mpi.v2.2_MPIG044010.1	CRO_01G000110.1
	Gelse_mpi.v2.2_MPIG044000.1	CRO_01G000120.1
AT1G16790.1	Gelse_mpi.v2.2_MPIG044030.1	
		
		
		
AT1G78915.3	Gelse_mpi.v2.2_MPIG044040.1	CRO_01G000130.1
		
	Gelse_mpi.v2.2_MPIG044060.1	CRO_01G000140.1
AT1G55960.1	Gelse_mpi.v2.2_MPIG044110.8	
		
		
		
		CRO_01G000150.1
		
		
AT1G16800.1	Gelse_mpi.v2.2_MPIG044070.1	CRO_01G000160.1
	Gelse_mpi.v2.2_MPIG043990.1	CRO_01G000170.4
AT1G16810.1		
	Gelse_mpi.v2.2_MPIG043980.5	CRO_01G000180.5
		
		
	Gelse_mpi.v2.2_MPIG043970.9	CRO_01G000190.2
AT1G51080.1		
AT1G16820.1		
		
		
		
		
AT1G78900.1	Gelse_mpi.v2.2_MPIG043960.1	CRO_01G000200.2
		
		
	Gelse_mpi.v2.2_MPIG043950.1	
AT1G16825.1	Gelse_mpi.v2.2_MPIG044090.3	
AT1G78895.1	Gelse_mpi.v2.2_MPIG044090.3	
AT1G50430.1	Gelse_mpi.v2.2_MPIG043940.1	CRO_01G000210.1
		
		
		
		
	Gelse_mpi.v2.2_MPIG043930.3	
		
	Gelse_mpi.v2.2_MPIG043920.1	CRO_01G000220.3
		
AT1G16830.1		
		
		
AT1G50440.1	Gelse_mpi.v2.2_MPIG043910.1	CRO_01G000230.1
		
		
AT1G16840.4	Gelse_mpi.v2.2_MPIG043900.1	CRO_01G000240.2
		
		
AT1G16850.1		
	Gelse_mpi.v2.2_MPIG043890.1	CRO_01G000250.1
		
		
AT1G16858.1		
	Gelse_mpi.v2.2_MPIG043880.1	
		
		CRO_01G000260.2
		
		
		
AT1G16860.1	Gelse_mpi.v2.2_MPIG043870.1	CRO_01G000270.1
		
AT1G16870.1		
AT1G51540.1	Gelse_mpi.v2.2_MPIG043860.2	CRO_01G000280.1
AT1G16880.1		
AT1G16890.3		
		
AT1G51550.1	Gelse_mpi.v2.2_MPIG043850.1	CRO_01G000290.1
		
AT3G21140.1	Gelse_mpi.v2.2_MPIG043840.1	
AT1G51560.1	Gelse_mpi.v2.2_MPIG043840.1	
	Gelse_mpi.v2.2_MPIG043830.1	CRO_01G000300.1
		
		
		
AT1G16905.1		
		
AT1G51570.1		
AT1G16910.1		
AT3G21150.1	Gelse_mpi.v2.2_MPIG043820.1	CRO_01G000310.1
		
		
		
AT1G51580.1		
		
		
		
		
		
AT3G21160.1	Gelse_mpi.v2.2_MPIG043800.2	CRO_01G000320.1
AT1G51590.1	Gelse_mpi.v2.2_MPIG043800.2	CRO_01G000320.1
AT1G16920.1		
		
		
AT3G21175.1	Gelse_mpi.v2.2_MPIG043810.2	
AT1G51600.1	Gelse_mpi.v2.2_MPIG043810.2	
		
		
		
AT1G51610.1	Gelse_mpi.v2.2_MPIG043790.2	CRO_01G000330.1
		
		
		
		
	Gelse_mpi.v2.2_MPIG043770.1	
		
		
		
		
		
AT1G16950.1		
		
		
	Gelse_mpi.v2.2_MPIG043780.1	CRO_01G000340.1
		
AT1G51620.2		
AT1G16960.1		
		
AT3G21180.1	Gelse_mpi.v2.2_MPIG043760.1	CRO_01G000350.1
		
		
AT1G16970.1		
AT3G21190.1	Gelse_mpi.v2.2_MPIG043750.2	CRO_01G000360.1
