Arabidopsis Gene ID,cell_type,Symbol,Reference,Reference DOI,gene,order,gene_anno,published_cell_type
AT1G19150,Mesophyll,LHCA2,"Kim et al., 2021",https://doi.org/10.1093/plcell/koaa060,Caacu.v4.3G007100,1,NA,NA
AT1G29910,Mesophyll,CAB3,"Kim et al., 2021",https://doi.org/10.1093/plcell/koaa060,Caacu.v4.11G005950,2,NA,NA
AT2G05100,Mesophyll,LHCB1,"Kim et al., 2021",https://doi.org/10.1093/plcell/koaa060,Caacu.v4.10G012330,3,NA,NA
AT3G01500,Mesophyll,CA1,"Kim et al., 2021",https://doi.org/10.1093/plcell/koaa060,Caacu.v4.4G018650,4,NA,NA
AT1G17420,Mesophyll,LOX3,Lee et al 2025,NA,Caacu.v4.4G003260,5,lipoxygenase 3,Mesophyll
AT4G10340,Mesophyll,Lhcb5,Lee et al 2025,NA,Caacu.v4.1G000800,6,light harvesting complex of photosystem II 5,Mesophyll
AT4G12970,Mesophyll,STOMAGEN,Lee et al 2025,NA,Caacu.v4.2G006890,7,stomagen,Mesophyll differentiation
AT5G01530,Mesophyll,Lhcb4.1,Lee et al 2025,NA,Caacu.v4.16G010940,8,light harvesting complex photosystem II,Mesophyll
AT5G17170,Mesophyll,ENH1,Lee et al 2025,NA,Caacu.v4.18G012520,9,rubredoxin family protein,Mesophyll
AT5G20630,Mesophyll,GER3,Lee et al 2025,NA,Caacu.v4.3G006860,10,germin 3,Mesophyll2
AT5G38420,Mesophyll,RbcS2B,Lee et al 2025,NA,Caacu.v4.8G009160,11,Ribulose bisphosphate carboxylase (small chain) family protein,Mesophyll
NA,Mesophyll,CaHGO,Valletta et al,doi.org/10.1186/1471-2229-10-69,Caacu.v4.6G001210,12,10-hydroxygeraniol oxidoreductase,NA
AT1G68530,Epidermis,KCS6,"Kim et al., 2021",https://doi.org/10.1093/plcell/koaa060,Caacu.v4.21G005830,13,NA,NA
AT4G04890,Epidermis,PDF2,"Abe et al., 2003",https://doi.org/10.1242/dev.00292,Caacu.v4.11G010310,14,NA,NA
