p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Chr,start,end,strand,gene_anno
6.174607155968485e-37,0.542336426848185,0.866,0.733,1.4315209230397335e-32,0,Caacu.v4.8G009160,Chr8,10746198,10747766,-,Ribulose bisphosphate carboxylase (small chain) family protein
1.8904499174206568e-29,0.7381874420698464,0.689,0.536,4.382819088548051e-25,0,Caacu.v4.17G004900,Chr17,9207412,9208342,-,Kunitz family trypsin and protease inhibitor protein
1.5597276075589175e-24,0.6707542917297138,0.591,0.438,3.616072485364594e-20,0,Caacu.v4.3G008170,Chr3,6929395,6931654,-,photosystem II subunit R
4.285102514321594e-22,0.41262021593025544,0.973,0.949,9.934581669203184e-18,0,Caacu.v4.10G003670,Chr10,3723560,3724544,-,Glycine rich protein family domain containing protein
5.289177388860282e-20,0.7888699011217226,0.374,0.229,1.2262428858333677e-15,0,Caacu.v4.14G001610,Chr14,1091226,1094802,-,fructose-bisphosphate aldolase
5.540932205497646e-20,0.5347772733594729,0.624,0.474,1.2846097225225743e-15,0,Caacu.v4.10G012330,Chr10,15433963,15435370,+,photosystem II light harvesting complex gene 2.1
5.716942115165842e-20,0.7064840207609464,0.516,0.37,1.3254158599800488e-15,0,Caacu.v4.17G004840,Chr17,9149208,9150800,-,Kunitz family trypsin and protease inhibitor protein
5.413517071328244e-19,0.7346443474994655,0.429,0.286,1.25506979781674e-14,0,Caacu.v4.20G006500,Chr20,5264980,5266420,-,light-harvesting chlorophyll-protein complex I subunit A4
1.4795616982239821e-18,0.7117628096906352,0.461,0.322,3.43021584116248e-14,0,Caacu.v4.11G009810,Chr11,11857405,11858705,-,photosystem II subunit Q-2
2.320680846173408e-18,0.8658097759296055,0.095,0.051,5.3802664737684294e-14,0,Caacu.v4.17G004890,Chr17,9195932,9196868,+,Kunitz family trypsin and protease inhibitor protein
6.358385510890285e-17,0.5919538411013221,0.57,0.439,1.4741280968448038e-12,0,Caacu.v4.17G004810,Chr17,9129284,9130180,-,Kunitz family trypsin and protease inhibitor protein
6.488308695361894e-17,0.6939063127131511,0.41,0.275,1.5042494879327016e-12,0,Caacu.v4.18G007400,Chr18,6277384,6281793,+,rubisco activase
1.1516938253060232e-16,0.8089289987755848,0.417,0.287,2.6700869645894843e-12,0,Caacu.v4.17G004860,Chr17,9179331,9180373,-,Kunitz family trypsin and protease inhibitor protein
