A.thaliana	G.sempervirens	C.roseus	Short_description	Curator_summary
NA	NA	CRO_01G000010.1	NA	NA
NA	NA	CRO_01G000020.1	NA	NA
NA	NA	CRO_01G000030.6	NA	NA
NA	NA	CRO_01G000040.1	NA	NA
NA	NA	CRO_01G000050.1	NA	NA
NA	NA	CRO_01G000060.1	NA	NA
NA	Gelse_mpi.v2.2_MPIG044080.3	CRO_01G000070.8	NA	NA
NA	Gelse_mpi.v2.2_MPIG044120.3	CRO_01G000080.7	NA	NA
AT1G16780.1	Gelse_mpi.v2.2_MPIG044020.1	CRO_01G000090.1	Inorganic H pyrophosphatase family protein	Encodes a type II H+-PPases that localizes to and function as a proton pump of the Golgi apparatus in most tissues except for mature leaves.
AT1G78920.1	Gelse_mpi.v2.2_MPIG044020.1	CRO_01G000090.1	vacuolar H+-pyrophosphatase 2	Encodes a type II H+-PPases that localizes to and function as a proton pump of the Golgi apparatus in most tissues except for mature leaves.
NA	NA	CRO_01G000100.1	NA	NA
AT1G78930.1	Gelse_mpi.v2.2_MPIG044010.1	CRO_01G000110.1	Mitochondrial transcription termination factor family protein	NA
NA	Gelse_mpi.v2.2_MPIG044000.1	CRO_01G000120.1	NA	NA
AT1G16790.1	Gelse_mpi.v2.2_MPIG044030.1	NA	ribosomal protein-related	NA
AT1G78915.3	Gelse_mpi.v2.2_MPIG044040.1	CRO_01G000130.1	Tetratricopeptide repeat (TPR)-like superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG044060.1	CRO_01G000140.1	NA	NA
AT1G55960.1	Gelse_mpi.v2.2_MPIG044110.8	NA	Polyketide cyclase/dehydrase and lipid transport superfamily protein	NA
NA	NA	CRO_01G000150.1	NA	NA
AT1G16800.1	Gelse_mpi.v2.2_MPIG044070.1	CRO_01G000160.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	NA
NA	Gelse_mpi.v2.2_MPIG043990.1	CRO_01G000170.4	NA	NA
AT1G16810.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG043980.5	CRO_01G000180.5	NA	NA
NA	Gelse_mpi.v2.2_MPIG043970.9	CRO_01G000190.2	NA	NA
AT1G51080.1	NA	NA	NA	NA
AT1G16820.1	NA	NA	vacuolar ATP synthase catalytic subunit-related / V-ATPase-related / vacuolar proton pump-related	NA
AT1G78900.1	Gelse_mpi.v2.2_MPIG043960.1	CRO_01G000200.2	vacuolar ATP synthase subunit A	Encodes catalytic subunit A of the vacuolar ATP synthase.  Mutants are devoid of vacuolar ATPase activity as subunit A is encoded only by this gene and show strong defects in male gametophyte development and in Golgi stack morphology.
NA	Gelse_mpi.v2.2_MPIG043950.1	NA	NA	NA
AT1G16825.1	Gelse_mpi.v2.2_MPIG044090.3	NA	Reticulon family protein	NA
AT1G78895.1	Gelse_mpi.v2.2_MPIG044090.3	NA	Reticulon family protein	NA
AT1G50430.1	Gelse_mpi.v2.2_MPIG043940.1	CRO_01G000210.1	Ergosterol biosynthesis ERG4/ERG24 family	Mutants are defective in Brassinosteroid biosynthesis (delta7-sterol-C7 reduction step) and have a dwarf phenotype.
NA	Gelse_mpi.v2.2_MPIG043930.3	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG043920.1	CRO_01G000220.3	NA	NA
AT1G16830.1	NA	NA	Pentatricopeptide repeat (PPR) superfamily protein	NA
AT1G50440.1	Gelse_mpi.v2.2_MPIG043910.1	CRO_01G000230.1	RING/FYVE/PHD zinc finger superfamily protein	NA
AT1G16840.4	Gelse_mpi.v2.2_MPIG043900.1	CRO_01G000240.2	NA	NA
AT1G16850.1	NA	NA	NA	NA
NA	Gelse_mpi.v2.2_MPIG043890.1	CRO_01G000250.1	NA	NA
AT1G16858.1	NA	NA	conserved peptide upstream open reading frame 55	Upstream open reading frames (uORFs) are small open reading frames found in the 5' UTR of a mature mRNA, and can potentially mediate translational regulation of the largest, or major, ORF (mORF). CPuORF55 represents a conserved upstream opening reading frame relative to major ORF AT1G16860.1
NA	Gelse_mpi.v2.2_MPIG043880.1	NA	NA	NA
NA	NA	CRO_01G000260.2	NA	NA
AT1G16860.1	Gelse_mpi.v2.2_MPIG043870.1	CRO_01G000270.1	Ubiquitin-specific protease family C19-related protein	NA
AT1G16870.1	NA	NA	mitochondrial 28S ribosomal protein S29-related	NA
AT1G51540.1	Gelse_mpi.v2.2_MPIG043860.2	CRO_01G000280.1	Galactose oxidase/kelch repeat superfamily protein	NA
AT1G16880.1	NA	NA	uridylyltransferase-related	NA
AT1G16890.3	NA	NA	ubiquitin-conjugating enzyme 36	UBC36/UBC13B encodes a protein that may play a role in DNA damage responses and error-free post-replicative DNA repair. It can bind to the MMZ/UEV1 proteins in vitro.
AT1G51550.1	Gelse_mpi.v2.2_MPIG043850.1	CRO_01G000290.1	Kelch repeat-containing F-box family protein	NA
AT3G21140.1	Gelse_mpi.v2.2_MPIG043840.1	NA	Pyridoxamine 5'-phosphate oxidase family protein	NA
AT1G51560.1	Gelse_mpi.v2.2_MPIG043840.1	NA	Pyridoxamine 5'-phosphate oxidase family protein	NA
NA	Gelse_mpi.v2.2_MPIG043830.1	CRO_01G000300.1	NA	NA
AT1G16905.1	NA	NA	Curculin-like (mannose-binding) lectin family protein	NA
AT1G51570.1	NA	NA	Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein	NA
AT1G16910.1	NA	NA	Protein of unknown function (DUF640)	NA
AT3G21150.1	Gelse_mpi.v2.2_MPIG043820.1	CRO_01G000310.1	B-box 32	Encodes a protein with a B-box domain predicted to act as a transcription factor. Expression of the BBX32 gene is affected by monochromatic red light.
